대상열,검색텍스트,링크URL,링크유형,설명
절감항목,사택 102-401 세대내 고장 보일러 교체,https://photos.app.goo.gl/ZSpjCao7BtfsuDmU8,detail,절감항목 상세 정보
절감항목,사택 9-501 누수탐지 및 바닥 매립배관 보수,https://photos.app.goo.gl/VysKu4vh8CJci2s38,detail,절감항목 상세 정보
절감항목,기숙사 및 사택 긴급보수 작업(건축)-1차,https://photos.app.goo.gl/kgQVvQyvHmAoMDcq7,detail,절감항목 상세 정보
절감항목,사택 5-401 누수 난방분배기 교체,https://photos.app.goo.gl/wi2X32C25LtwxwV17,detail,절감항목 상세 정보
절감항목,기숙사 및 사택 저수조 안전 브라켓,https://photos.app.goo.gl/orM3oQ4oymfL2sAGA,detail,절감항목 상세 정보
절감항목,기숙사동 및 사택 소방 지적사항 보완,https://photos.app.goo.gl/EzqSAa5XAneNd5E47,detail,절감항목 상세 정보
비고,기계 최소인건비,https://photos.app.goo.gl/od8H1Cn9ZXcyttq6A,note,최소인건비 정보
비고,건축 최소인건비,https://photos.app.goo.gl/RY4GxypvWKuGJnuu7,note,최소인건비 정보
비고,전기 최소인건비,https://photos.app.goo.gl/htiYjUpzb8U7YtdW8,note,최소인건비 정보
비고,비용 추정(보수적),https://photos.app.goo.gl/RmJhxWhF3xZW7zAu8,note,비고 상세 정보
